T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-0.000553809,0.012674555,-0.000943289,0.020722644,0.000207665,0.001960262,-0.003872986,0.067476399,-0.007468318,0.25121287,0.000654978,0.067841418
0.000168042,-0.000612797,-0.00156179,0.029753337,0.000722402,-0.016076155,-0.002808087,0.051653527,-0.007057061,0.25426438,0.002269855,0.093184061
-0.000505499,0.019234201,-0.000666394,0.017492235,-0.000112273,0.000993708,-0.00387853,0.055665426,-0.003321221,0.13021711,8.9927E-05,0.11383295
-0.00062152,0.031970669,-0.001328962,0.045914505,0.00036058,0.003385363,-0.002902844,0.060975738,-0.004686631,0.19450037,0.00106018,0.081651926
-0.000493779,0.025676511,-0.001338547,0.032821268,0.00039076,-0.000358988,-0.004887898,0.087512992,-0.003399339,0.15432581,-0.000756269,0.14336999
-0.000333578,0.004455111,-0.000689242,0.014858427,-0.000111638,0.003556584,-0.004612829,0.10589895,-0.005851481,0.2255726,0.002462241,0.096549183
-0.000474119,0.01772253,-0.001226521,0.030165434,0.000469419,-0.003750302,-0.004481397,0.046299383,-0.004892576,0.1713161,0.002847113,0.022166701
-0.000117252,0.003846581,-0.000554512,0.015278159,0.000188532,-0.004113236,-0.003321621,0.13197491,-0.00259808,0.16803481,0.000823896,0.13037886
-0.000376667,0.015653551,-0.001354656,0.032333929,-0.000203803,0.002263801,-0.004305245,0.12879868,-0.00531583,0.2148688,0.001120943,0.079985283
-0.000768631,0.020917701,-0.000556692,0.018216616,8.39304E-05,-0.001021466,-0.003343213,0.010103203,-0.005780848,0.21250434,0.000920478,0.088385969
-0.000462775,0.018269842,-0.001348179,0.027206501,0.000214267,0.004230481,-0.006714237,0.15248933,-0.004649117,0.228135,0.002619488,0.013698617
-0.000440629,0.010724905,-0.001140507,0.026011523,0.000825226,-0.0292859,-0.000797984,-0.003052302,-0.003756407,0.19329163,0.001525093,0.078066796
-0.000698194,0.022520313,-0.000912239,0.021736193,0.000249522,0.000563875,-0.003932625,0.086995348,-0.007861573,0.2493493,0.001651557,0.078808106
-0.000250548,0.001103207,-0.001505073,0.029378844,0.000652103,-0.014971364,-0.006113785,0.062258195,-0.007686861,0.23948644,0.003368184,-0.007655448
-0.000325873,0.018548803,-0.000779049,0.023242455,0.000398586,-0.000557464,-0.005605784,0.15614516,-0.001965247,0.11476012,0.002840224,0.076857753
-0.000433244,0.005528239,-0.002248402,0.038425907,0.00034636,-0.00715593,-0.006097752,0.16201442,-0.008879221,0.27921814,0.001845095,0.021726079
-0.000534615,0.013920124,-0.00161848,0.032066975,-0.000194118,-0.008536405,-0.005943902,0.055953935,-0.005618874,0.20176378,0.002152895,0.020168267
-0.000229111,0.017698288,-0.000981844,0.025018321,-0.00018885,-0.001673082,-0.005060836,0.13359629,-0.005728103,0.22756505,0.003646119,0.013659385
-0.000211795,0.019806461,-0.000804906,0.026952518,0.000146261,0.001092389,-0.004348304,0.11266305,-0.001366532,0.14686766,0.002372534,0.1069058
6.4613E-05,0.007152763,-0.000168816,0.008233299,0.000343777,-0.00957011,-0.002495143,0.041063976,-0.002188805,0.16750477,0.000566956,0.13766211
-0.000223878,0.011204776,-0.001597421,0.026575297,7.4070394e-06,-0.008005231,-0.002954609,0.1170951,-0.004744965,0.22811523,0.001175806,0.13305713
-0.000453651,0.004877674,-0.002121945,0.030898804,-0.00014851,-0.006637694,-0.005896195,0.085418791,-0.008034946,0.23329522,0.003191434,0.009513265
-0.000295904,0.014783266,-0.001729518,0.033924736,0.00020096,-0.003083,-0.003460398,0.059529521,-0.007323663,0.2258279,-7.38E-06,0.093173482
-0.000532695,0.018828392,-0.001628308,0.045052707,8.93722E-05,0.000126937,-0.001087965,0.059476513,-0.006053642,0.23019844,0.003211533,0.076058276
-0.000527033,0.016563844,-0.001225884,0.029522842,0.00025665,-0.002567636,-0.002108781,-0.055048861,-0.003365321,0.12271323,0.002973498,0.032058872
-0.00071555,0.023531159,-0.000992563,0.032838847,0.000216388,-0.000594912,-0.003972891,0.002330569,-0.005675196,0.20111278,0.004790441,-0.04646134
-0.000242392,0.013309294,-0.000715317,0.021927789,0.000358946,-0.007720325,-0.001347806,0.001459138,-0.001544546,0.13141018,0.002504535,0.0259888
-0.000427371,0.012891524,-0.001636886,0.038549505,-0.000107004,0.00360053,-0.002999034,0.03003717,-0.006123474,0.19322649,0.002416898,0.048894715
-0.00043787,0.00922106,-0.001481251,0.027256066,-0.00018218,-0.00635442,-0.003998102,0.078298695,-0.00568453,0.2323052,0.000946062,0.11357117
-0.000708596,0.015217273,-0.001651032,0.031605605,-0.000275522,0.001513156,-0.00438729,0.033086516,-0.005838618,0.21184394,0.0041528,0.042675409
-0.000695731,0.028534064,-0.000736468,0.020638205,0.000188688,0.001972846,-0.003948549,0.058533676,-0.006022109,0.19739483,0.002565939,0.019080432
-0.000522109,0.01322585,-0.001046,0.028987924,0.000420699,-0.003751331,-0.001732686,0.053918961,-0.005262985,0.21951026,0.001857726,0.10181737
-0.000767056,0.025015142,-0.001495956,0.033846591,4.91884E-05,-0.001783453,-0.003677647,0.059551895,-0.006829045,0.24976824,0.003005428,0.0872906
-0.000455897,0.01745379,-0.000519841,0.018283211,0.000165923,-0.002664618,-0.003952499,0.094645843,-0.005688939,0.23950435,0.000274501,0.09617731
-0.00038286,0.006747612,-0.001033482,0.023596087,-1.12E-06,-0.006764781,-0.003817764,0.024308583,-0.00655559,0.22924709,0.00198731,0.02373071
-0.000522253,0.015287652,-0.001303419,0.025683008,-0.000167921,-0.002727049,-0.00483744,0.028992491,-0.009577995,0.2928026,0.00106922,0.13024226
4.25926E-05,-0.00856173,-0.001454528,0.02420629,-0.000197479,2.07834E-05,-0.001139856,0.066409811,-0.007499166,0.27095321,0.003060697,0.043479756
-0.000399839,0.019813089,-0.00100722,0.022102138,9.21703E-05,0.000516698,-0.003763348,0.054301079,-0.006138839,0.21737245,0.002891487,0.097698651
-0.000548511,0.01536181,-0.001678923,0.029602921,0.000414111,-0.008514687,-0.005334023,0.077920087,-0.005461248,0.21891592,0.000727466,0.13680631
-0.000520111,0.016520401,-0.001338129,0.03504381,0.000113361,-0.001666614,-0.002752892,-0.010998449,-0.007071388,0.21344443,0.002385693,0.049295854
-0.000133643,0.003305082,-0.001330553,0.03200059,0.000173709,-0.003924982,-0.005949833,0.13635612,-0.004321671,0.18712516,0.003636366,-0.002119535
-0.000555285,0.016125606,-0.001514926,0.043379877,9.19682E-05,0.003026764,-0.005256463,0.072604902,-0.007612084,0.24186657,-0.00012634,0.12769209
-0.000870227,0.027603513,-0.001297463,0.032039579,0.000246753,-0.001247944,0.000203265,-0.090501197,-0.005092158,0.20936772,0.000941388,0.11458424
-0.000338169,0.018117184,-0.000786977,0.020328579,0.000239015,0.002735466,-0.004465752,0.060182773,-0.004905937,0.15531181,0.000657123,0.084109396
-0.000286738,0.017294142,-0.001657074,0.03866015,0.00010475,0.005545171,-0.004284241,0.10725148,-0.00946637,0.3120611,0.002183469,0.034287274
-0.000712531,0.015376687,-0.002423478,0.042659048,-4.38E-05,-0.004647519,-0.00460985,0.091292053,-0.009224718,0.27136967,-0.00218324,0.15895176
-9.05E-05,0.004005056,-0.001355553,0.022719294,5.1001E-05,-0.003918473,-0.00200899,0.009758131,-0.003026936,0.16362987,0.003086476,0.056914877
-0.000388081,0.011737851,-0.001096199,0.02056714,0.000349366,-0.004488247,-0.000885465,-0.10713767,-0.002507479,0.11729387,0.002164668,0.035296965
-0.000203293,0.006560857,-0.001823101,0.034069404,6.42459E-05,-0.002887495,-0.00271611,0.09635599,-0.006002526,0.19717391,-0.000480421,0.15390243
-0.000320986,0.014462896,-0.00077307,0.018798394,0.000473215,-0.011413177,-0.000805895,0.002395989,-0.004130716,0.1948083,0.001673984,0.10300753
-0.000541639,0.017456008,-0.001071709,0.0309864,0.000249574,0.001698856,-0.00651776,0.18889819,-0.00567176,0.21733932,-0.000705526,0.11828408
-0.000393139,0.012715823,-0.001558635,0.036688212,0.000336691,-0.000138593,-0.003028138,0.11959402,-0.006383055,0.24991912,-5.63E-05,0.15225594
-0.000366233,0.013408731,-0.001302646,0.03056583,-6.50E-05,0.002903007,-0.006040763,0.10054842,-0.004864736,0.19350627,-0.001735912,0.11689644
-0.000321298,0.014229898,-0.000984484,0.021781038,0.000252644,-0.011127569,-0.002975098,0.066549331,-0.001278053,0.1124275,0.002396955,0.029325364
-0.000171516,0.000853781,-0.000939923,0.021407655,0.000282076,0.004309045,-0.004086984,0.071439423,-0.004936737,0.22933313,-0.001838408,0.15846801
-0.000490645,0.003553792,-0.000844936,0.021119859,0.00044028,-0.011201705,-0.001318381,-0.010309259,-0.006941465,0.22614886,0.001891656,0.089254282
-0.000775629,0.02502187,-0.000984675,0.036921952,0.000209462,0.001106534,-0.002893222,0.009499724,-0.001336017,0.13857125,0.000314554,0.12235682
-0.000486093,0.006785376,-0.001263245,0.022061912,-0.000233118,-0.001662494,-0.002362861,-0.068987198,-0.007256353,0.19245507,0.003646903,0.020944888
-0.000811962,0.017707922,-0.001820071,0.043784842,0.000177278,0.002300904,-0.004944484,0.095974922,-0.007338375,0.2815448,0.001172931,0.057052679
-0.000269382,0.006836697,-0.001636181,0.026902528,-0.000241594,-0.006772358,-0.00324816,0.003421852,-0.00652669,0.20759776,0.000119748,0.057061356
-0.000376645,0.021024063,-0.001511222,0.030327991,0.000252144,-0.002656589,-0.004544671,0.13061614,-0.005150087,0.16919054,0.000417835,0.080974236
-0.00028295,0.01376803,-0.000837296,0.019117344,0.000140227,-0.008996179,-0.006430042,0.13633093,-0.004659312,0.21506323,0.001467839,0.074517921
-0.000542402,0.01730914,-0.000623517,0.024209736,-3.08E-05,0.0013157,-0.002671294,0.087959118,-0.003892484,0.18161044,0.001550064,0.036443271
-0.000130291,0.007112607,-0.00111555,0.019677252,0.000161295,-0.004593084,-0.003830993,0.092093639,-0.002667824,0.14091681,-0.000857168,0.12912989
-0.000236845,0.016063793,-0.000932155,0.020226369,0.000117631,-0.004131205,-0.001015662,0.012782937,-0.003528256,0.18532369,0.003034109,0.036722597
-0.000503419,0.017302142,-0.000430426,0.010113996,0.00068719,-0.01724432,-0.005824501,0.15171385,-0.004715061,0.17272915,0.004164164,-0.028991003
-0.000927492,0.030229783,-0.000783911,0.024392888,7.17088E-05,0.000704874,-0.001486217,0.020997576,-0.006094607,0.21935408,-0.000269587,0.15846477
-0.000299328,0.008681594,-0.000673628,0.0145034,0.000241939,-0.001789323,-0.002478887,0.092706956,-0.002936574,0.17478916,-0.000473315,0.16794403
-0.000442045,0.011259006,-0.000967621,0.02912957,8.54415E-05,0.002972591,-0.003920883,0.11537189,-0.001801596,0.15645607,0.000485015,0.12300063
-0.000475856,0.01935694,-0.00111764,0.019517079,0.000398568,-0.000938435,-0.003939234,0.041634828,-0.004276827,0.18419217,0.000964842,0.1334569
-0.000649081,0.025442926,-0.001579717,0.035476953,9.4853194e-06,-0.000848445,-0.004781712,0.032636255,-0.003260613,0.14747797,0.002293516,0.06714803
-0.000667304,0.010278161,-0.001330301,0.030244375,0.00012421,-0.007441739,-0.003947672,0.080646597,-0.005115529,0.21407698,0.000686288,0.08843562
-0.000475313,0.025984554,-0.00076361,0.027007362,0.000278393,0.003885109,-0.002864004,-0.020892505,-0.002142312,0.081395343,0.003456176,0.063088387
-0.000201661,0.015040564,-0.000879389,0.018496523,9.34656E-05,-0.005969011,-0.001758398,0.009180925,-0.005948213,0.21311472,0.001153679,0.11868729
-0.000256113,0.006161901,-0.000600907,0.01461257,0.000556237,-0.013019228,-0.005404223,0.096360557,-0.005777438,0.21183702,0.002748342,-0.010735271
-0.000572256,0.011598186,-0.000619985,0.011620299,0.00068379,-0.014404046,0.000292997,-0.16474448,-0.003824506,0.13250504,-0.000347891,0.039736312
