T2_panel0,T_panel0,T2_panel1,T_panel1,T2_panel2,T_panel2,T2_ld0,T_ld0,T2_ld1,T_ld1,T2_ld2,T_ld2
-0.000320147,0.005459232,-0.000301454,0.005267035,0.000347625,0.000527149,-0.003020475,0.048590787,-0.005988289,0.21740741,0.002052092,0.066982962
-0.000205324,0.008961311,-0.000522873,0.009981658,0.000242247,0.001555333,-0.001914677,0.070122249,-0.002343134,0.10891462,0.000987908,0.02728858
-8.90777E-05,0.000499208,-0.000436643,0.004806972,0.000405832,-0.002002363,-0.000549388,0.006775452,-0.006041261,0.22989561,-0.000565092,0.095732495
8.7347089e-06,-0.004941957,-0.000643402,0.009408752,0.000300344,0.004223783,-0.000904624,-0.002626318,-0.007188189,0.26146623,-0.000124792,0.090463415
-0.000994039,0.02650553,-0.000334092,0.010712985,0.000202239,-4.40773E-05,-0.003273467,0.14896724,-0.003018891,0.14874798,0.001391687,0.073387004
-0.000405214,0.005300821,-0.000612231,0.013192809,0.000269019,0.001988999,-0.001554006,-0.005773176,-0.005350715,0.19160882,0.002240903,0.047092184
-0.000405721,0.01450721,-0.000687716,0.009971683,0.000193605,0.002320095,-0.006187672,0.1644877,-0.004630453,0.18555987,0.000827893,0.026457727
-0.000251561,0.008750872,-0.000127096,0.004918336,0.000306958,0.004436206,-0.000725955,-0.006658739,-0.001126913,0.073125914,0.000334852,0.052878566
-0.000522567,0.016649624,-0.00065402,0.01000283,0.000303716,-0.001265911,-0.000696661,0.046864916,-0.00442449,0.15519424,0.001168946,0.036230706
-0.000125026,0.005912673,-0.000444824,0.003952737,0.000308027,0.001116019,-0.003554466,0.13582063,-0.004370034,0.14681491,0.001047829,0.042338546
-0.000636456,0.018432904,-0.001003424,0.023818951,0.000141851,0.000739365,-0.004249945,0.12080011,-0.005479973,0.16988254,0.001307682,0.036823839
-0.000610483,0.016343655,-0.000589471,0.00787335,0.000426271,-0.005679248,-0.003863075,0.093585163,-0.003871578,0.13090087,0.002406783,-0.011702121
-0.000299081,0.007893274,-0.000506645,0.01114622,0.000425266,0.003671158,-0.002076679,0.053530116,-0.008131565,0.35617226,0.004992944,0.073082119
3.56474E-05,0.000496498,-0.001113406,0.019867942,0.000157052,0.002835997,-0.002993297,0.067643113,-0.006479709,0.22402979,0.00210818,0.033527449
-0.001134714,0.042073693,-0.00079383,0.021516601,0.000216475,0.002852776,-0.001803112,0.07985428,-0.003821139,0.13422641,0.001606412,0.032053616
-0.000323853,0.008213165,-0.000277294,0.002140575,0.000317184,0.003208071,-0.005264671,0.15831761,-0.004044352,0.16522014,0.001455653,0.066958688
-0.000138608,0.002446355,-0.000632207,0.009712831,0.000139506,0.006282383,0.002050416,-0.16081396,-0.007570842,0.3239443,0.001232267,0.096882507
-0.000209112,0.011924905,-0.000261489,0.007516955,0.000267201,0.000629248,-0.002979629,0.1040288,-0.004647101,0.1780508,0.001834079,0.008189799
-0.000318742,0.00600166,-0.000572804,0.005617871,6.02091E-05,0.006379793,-0.003048831,0.040389586,-0.005551402,0.17791502,-0.000296322,0.044577487
-0.000359757,0.015679585,9.77425E-05,-0.002051695,0.000189297,0.001613944,-0.001990225,0.12092399,-0.002570815,0.12556607,0.001888286,0.04596705
-0.00037235,0.004373043,-0.000607022,0.016194286,0.000161527,-0.001281924,-0.001271921,0.049234744,-0.004829526,0.16524303,0.001835789,0.020545593
