country,ISO_Code,year,,gdp_k,gdp_b,gdp,edu,pop,tem,pre,tem_era,pre_era
Afghanistan,AFG,1990,AFG1990,,,1341.6,1.445444444,24.823,10.93263672,0.4410933,9.154013291,0.477234789
Afghanistan,AFG,1991,AFG1991,,,1254.2,1.541666667,26.598,10.2400867,0.540531801,8.053526019,0.628492675
Afghanistan,AFG,1992,AFG1992,,,1106.5,1.541666667,28.971,9.959341311,0.504499012,7.923169842,0.582047329
Afghanistan,AFG,1993,AFG1993,,,1022.4,1.638,31.635,10.39821098,0.399551756,8.514915094,0.437066823
Afghanistan,AFG,1994,AFG1994,,,911.7,1.734333333,34.152,10.42368211,0.439935764,8.512255897,0.504706708
Afghanistan,AFG,1995,AFG1995,,,883.3,1.830777778,36.222,10.32193566,0.403399787,8.437853411,0.450694342
Afghanistan,AFG,1996,AFG1996,,,868.4,1.830777778,37.706,10.17631221,0.421811865,8.46141217,0.452973528
Afghanistan,AFG,1997,AFG1997,,,886.1,1.927,38.714,9.976777758,0.430270024,8.288374745,0.528251184
Afghanistan,AFG,1998,AFG1998,,,867.2,1.927,39.476,10.63586454,0.481017243,9.556251362,0.502570319
Afghanistan,AFG,1999,AFG1999,,,910.2,2.023444444,40.342,11.44774729,0.402991448,9.438237138,0.437269026
Afghanistan,AFG,2000,AFG2000,,,987.1,2.119777778,41.56,11.10591394,0.315559318,9.519865214,0.290527391
Afghanistan,AFG,2001,AFG2001,,,1039.5,2.119777778,43.214,11.30936477,0.296996934,10.15528912,0.290699446
Afghanistan,AFG,2002,AFG2002,,,1088,2.216222222,45.202,11.14264282,0.396333657,9.779479561,0.398083136
Afghanistan,AFG,2003,AFG2003,,0.0407527,1126.4,2.312444444,47.362,10.6096164,0.448398085,9.123090644,0.45417019
Afghanistan,AFG,2004,AFG2004,,-0.0278005,1090.2,2.408888889,49.454,11.47176835,0.398666065,10.04295371,0.40340002
Afghanistan,AFG,2005,AFG2005,,0.0714752,1167.4,2.505333333,51.308,10.65733176,0.480637863,8.552603679,0.4651751
Afghanistan,AFG,2006,AFG2006,,0.0235347,1193.9,2.601555556,52.866,11.35348028,0.481214095,9.952957153,0.466616083
Afghanistan,AFG,2007,AFG2007,,0.1011208,1321.5,2.794222222,54.201,11.09196956,0.412130441,9.409178965,0.430899552
Afghanistan,AFG,2008,AFG2008,,0.0098878,1335.6,2.890777778,55.444,11.20242125,0.388680259,9.501291477,0.374493529
Afghanistan,AFG,2009,AFG2009,,0.1660917,1576,2.987,56.79,11.15926484,0.511107371,8.855466165,0.526095012
